city,city_ascii,province_id,province_name
Sackville,Sackville,NB,New Brunswick
Grand Falls,Grand Falls,NB,New Brunswick
Cochrane,Cochrane,ON,Ontario
Marystown,Marystown,NL,Newfoundland and Labrador
Sioux Lookout,Sioux Lookout,ON,Ontario
Didsbury,Didsbury,AB,Alberta
Saint-Honoré,Saint-Honore,QC,Quebec
Fernie,Fernie,BC,British Columbia
Deer Lake,Deer Lake,NL,Newfoundland and Labrador
Woodstock,Woodstock,NB,New Brunswick
Val-David,Val-David,QC,Quebec
Flin Flon,Flin Flon,SK,Saskatchewan
Hudson,Hudson,QC,Quebec
Gananoque,Gananoque,ON,Ontario
Brokenhead,Brokenhead,MB,Manitoba
Saint-Paul,Saint-Paul,QC,Quebec
Burton,Burton,NB,New Brunswick
Spallumcheen,Spallumcheen,BC,British Columbia
Westlock,Westlock,AB,Alberta
Témiscouata-sur-le-Lac,Temiscouata-sur-le-Lac,QC,Quebec
Shannon,Shannon,QC,Quebec
Osoyoos,Osoyoos,BC,British Columbia
Montréal-Ouest,Montreal-Ouest,QC,Quebec
Hearst,Hearst,ON,Ontario
Saint-Henri,Saint-Henri,QC,Quebec
Ste. Anne,Ste. Anne,MB,Manitoba
Antigonish,Antigonish,NS,Nova Scotia
Espanola,Espanola,ON,Ontario
West Elgin,West Elgin,ON,Ontario
Flin Flon (Part),Flin Flon (Part),MB,Manitoba
Grand Bay-Westfield,Grand Bay-Westfield,NB,New Brunswick
Sainte-Anne-de-Bellevue,Sainte-Anne-de-Bellevue,QC,Quebec
North Huron,North Huron,ON,Ontario
Oliver,Oliver,BC,British Columbia
Saint-Roch-de-l'Achigan,Saint-Roch-de-l'Achigan,QC,Quebec
Stirling-Rawdon,Stirling-Rawdon,ON,Ontario
Chisasibi,Chisasibi,QC,Quebec
Carbonear,Carbonear,NL,Newfoundland and Labrador
Saint Marys,Saint Marys,NB,New Brunswick
Chertsey,Chertsey,QC,Quebec
Armstrong,Armstrong,BC,British Columbia
Stonewall,Stonewall,MB,Manitoba
Shippagan,Shippagan,NB,New Brunswick
Lanoraie,Lanoraie,QC,Quebec
Memramcook,Memramcook,NB,New Brunswick
Centre Hastings,Centre Hastings,ON,Ontario
Warwick,Warwick,QC,Quebec
East Ferris,East Ferris,ON,Ontario
Hanwell,Hanwell,NB,New Brunswick
Saint-Joseph-de-Beauce,Saint-Joseph-de-Beauce,QC,Quebec
Metchosin,Metchosin,BC,British Columbia
Lucan Biddulph,Lucan Biddulph,ON,Ontario
Rivière-Rouge,Riviere-Rouge,QC,Quebec
Greenstone,Greenstone,ON,Ontario
Saint-Mathias-sur-Richelieu,Saint-Mathias-sur-Richelieu,QC,Quebec
Neepawa,Neepawa,MB,Manitoba
Gibsons,Gibsons,BC,British Columbia
Kindersley,Kindersley,SK,Saskatchewan
Jasper,Jasper,AB,Alberta
Barrhead,Barrhead,AB,Alberta
Les Coteaux,Les Coteaux,QC,Quebec
Melville,Melville,SK,Saskatchewan
Saint-Germain-de-Grantham,Saint-Germain-de-Grantham,QC,Quebec
Iroquois Falls,Iroquois Falls,ON,Ontario
Havelock-Belmont-Methuen,Havelock-Belmont-Methuen,ON,Ontario
Cornwallis,Cornwallis,MB,Manitoba
Saint-Boniface,Saint-Boniface,QC,Quebec
Edenwold No. 158,Edenwold No. 158,SK,Saskatchewan
Coverdale,Coverdale,NB,New Brunswick
Vanderhoof,Vanderhoof,BC,British Columbia
Southwold,Southwold,ON,Ontario
Goulds,Goulds,NL,Newfoundland and Labrador
Saint Stephen,Saint Stephen,NB,New Brunswick
Waterloo,Waterloo,QC,Quebec
Nipawin,Nipawin,SK,Saskatchewan
Neuville,Neuville,QC,Quebec
Saint-Cyrille-de-Wendover,Saint-Cyrille-de-Wendover,QC,Quebec
Central Frontenac,Central Frontenac,ON,Ontario
Mont-Orford,Mont-Orford,QC,Quebec
Saint-Jean-de-Matha,Saint-Jean-de-Matha,QC,Quebec
Seguin,Seguin,ON,Ontario
Tyendinaga,Tyendinaga,ON,Ontario
Hampton,Hampton,NB,New Brunswick
Sussex,Sussex,NB,New Brunswick
Grand Forks,Grand Forks,BC,British Columbia
La Pocatière,La Pocatiere,QC,Quebec
Caraquet,Caraquet,NB,New Brunswick
Saint-Étienne-des-Grès,Saint-Etienne-des-Gres,QC,Quebec
Altona,Altona,MB,Manitoba
Stellarton,Stellarton,NS,Nova Scotia
Wolfville,Wolfville,NS,Nova Scotia
New Maryland,New Maryland,NB,New Brunswick
Port Hardy,Port Hardy,BC,British Columbia
Saint-Donat,Saint-Donat,QC,Quebec
Château-Richer,Chateau-Richer,QC,Quebec
Madawaska Valley,Madawaska Valley,ON,Ontario
Deep River,Deep River,ON,Ontario
Asphodel-Norwood,Asphodel-Norwood,ON,Ontario
Red Lake,Red Lake,ON,Ontario
Métabetchouan-Lac-à-la-Croix,Metabetchouan-Lac-a-la-Croix,QC,Quebec
Berthierville,Berthierville,QC,Quebec
Vermilion,Vermilion,AB,Alberta
Niverville,Niverville,MB,Manitoba
Hastings Highlands,Hastings Highlands,ON,Ontario
Carstairs,Carstairs,AB,Alberta
Danville,Danville,QC,Quebec
Channel-Port aux Basques,Channel-Port aux Basques,NL,Newfoundland and Labrador
Battleford,Battleford,SK,Saskatchewan
Lac-Etchemin,Lac-Etchemin,QC,Quebec
Saint-Antonin,Saint-Antonin,QC,Quebec
Saint-Jacques,Saint-Jacques,QC,Quebec
Swan River,Swan River,MB,Manitoba
Sutton,Sutton,QC,Quebec
Northern Bruce Peninsula,Northern Bruce Peninsula,ON,Ontario
L’Islet-sur-Mer,L'Islet-sur-Mer,QC,Quebec
Carleton-sur-Mer,Carleton-sur-Mer,QC,Quebec
Oka,Oka,QC,Quebec
Prescott,Prescott,ON,Ontario
Amaranth,Amaranth,ON,Ontario
Marmora and Lake,Marmora and Lake,ON,Ontario
Maniwaki,Maniwaki,QC,Quebec
Morin-Heights,Morin-Heights,QC,Quebec
Dundas,Dundas,NB,New Brunswick
Napierville,Napierville,QC,Quebec
Crabtree,Crabtree,QC,Quebec
Bancroft,Bancroft,ON,Ontario
Saint-Tite,Saint-Tite,QC,Quebec
Howick,Howick,ON,Ontario
Dutton/Dunwich,Dutton/Dunwich,ON,Ontario
Callander,Callander,ON,Ontario
Simonds,Simonds,NB,New Brunswick
Baie-d’Urfé,Baie-d'Urfe,QC,Quebec
New Richmond,New Richmond,QC,Quebec
Perth South,Perth South,ON,Ontario
Roxton Pond,Roxton Pond,QC,Quebec
Sparwood,Sparwood,BC,British Columbia
Claresholm,Claresholm,AB,Alberta
Breslau,Breslau,ON,Ontario
Montague,Montague,ON,Ontario
Cumberland,Cumberland,BC,British Columbia
Beaupré,Beaupre,QC,Quebec
Saint-André-Avellin,Saint-Andre-Avellin,QC,Quebec
Saint-Ambroise-de-Kildare,Saint-Ambroise-de-Kildare,QC,Quebec
East Angus,East Angus,QC,Quebec
Rossland,Rossland,BC,British Columbia
Mackenzie,Mackenzie,BC,British Columbia
Golden,Golden,BC,British Columbia
Raymond,Raymond,AB,Alberta
Saint-Adolphe-d'Howard,Saint-Adolphe-d'Howard,QC,Quebec
Warwick,Warwick,ON,Ontario
Bowen Island,Bowen Island,BC,British Columbia
